#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0
#Host: 10.73.0.27
1569315334.37 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.535 43843584.000 342048768.000 -1.000 -1.000 0 0 218750 406250 781250
1569315334.48 815149 3.967 11450002.422 218750 0 2 0 0.000 863296 90.909 0.560 46092288.000 342110208.000 1569315334.451 1569315334.449 0 0 218750 406250 781250
#Host: 10.73.0.27
1569315334.58 815149 3.967 11450002.422 218750 0 2 0 0.000 863296 0.000 0.560 46108672.000 342110208.000 1569315334.451 1569315334.449 0 0 218750 406250 781250
1569315334.68 1576157 7.967 11620520.575 781250 2 2 0 0.000 1672260 90.000 0.581 47718400.000 342110208.000 1569315334.653 1569315334.651 130 1 218750 406250 781250
#Host: 10.73.0.27
1569315334.78 1576157 7.967 11620520.575 781250 2 2 0 0.000 1672260 10.000 0.581 47853568.000 342110208.000 1569315334.653 1569315334.651 130 1 218750 406250 781250
1569315334.89 1576157 7.967 11620520.575 781250 2 2 0 0.000 1672260 72.727 0.608 49987584.000 344416256.000 1569315334.785 1569315334.651 130 1 218750 406250 781250
1569315334.99 1576157 7.967 11620520.575 781250 2 2 0 0.000 1672260 100.000 0.637 52256768.000 346791936.000 1569315334.785 1569315334.651 130 1 218750 406250 781250
#Host: 10.73.0.27
1569315335.09 4256536 11.983 11626220.190 781250 2 2 1 0.839 4442440 80.000 0.656 54030336.000 344928256.000 1569315335.031 1569315335.023 130 1 218750 406250 781250
1569315335.19 4256536 11.983 11626220.190 781250 2 2 1 0.839 4442440 30.000 0.656 54034432.000 344928256.000 1569315335.163 1569315335.023 130 1 218750 406250 781250
1569315335.30 4256536 11.983 11626220.190 781250 2 2 1 0.839 4442440 81.818 0.677 55652352.000 346595328.000 1569315335.163 1569315335.023 130 1 218750 406250 781250
1569315335.40 5121477 13.167 11657979.280 781250 2 2 1 0.839 7188932 110.000 0.689 56557568.000 347619328.000 1569315335.163 1569315335.398 130 1 218750 406250 781250
#Host: 10.73.0.27
1569315335.51 6914331 15.983 11657979.280 781250 2 2 1 0.839 7188932 40.000 0.665 54808576.000 342118400.000 1569315335.404 1569315335.398 130 1 218750 406250 781250
1569315335.61 6914331 15.983 11657979.280 781250 2 2 1 0.839 7188932 54.545 0.692 56967168.000 344383488.000 1569315335.538 1569315335.398 130 1 218750 406250 781250
1569315335.71 6914331 15.983 11657979.280 781250 2 2 1 0.839 7188932 100.000 0.735 60502016.000 347971584.000 1569315335.538 1569315335.398 130 1 218750 406250 781250
1569315335.82 9572136 19.933 11597435.409 781250 2 2 1 0.839 9969264 109.091 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315335.92 9570063 19.833 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.02 9564708 19.767 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.12 9556834 19.667 11597435.409 781250 2 2 1 0.839 9969264 10.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.23 9546074 19.567 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.33 9496402 19.467 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.43 9492225 19.367 11597435.409 781250 2 2 1 0.839 9969264 10.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.53 9482239 19.233 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.63 9474885 19.167 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.73 9463830 19.067 11597435.409 781250 2 2 1 0.839 9969264 10.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.83 9410272 18.933 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315336.94 9399011 18.833 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315337.04 9381487 18.733 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315337.14 9368762 18.633 11597435.409 781250 2 2 1 0.839 9969264 10.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315337.24 9354828 18.533 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315337.34 9292660 18.450 11597435.409 781250 2 2 1 0.839 9969264 10.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315337.45 9280975 18.350 11597435.409 781250 2 2 1 0.839 9969264 0.000 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
1569315337.55 9268640 18.200 11597435.409 781250 2 2 1 0.839 9969264 9.091 0.742 61104128.000 344903680.000 1569315335.538 1569315335.778 130 1 218750 406250 781250
#Host: 10.73.0.27
1569315337.65 9254075 18.133 11597435.409 781250 2 2 1 0.839 9969264 30.000 0.742 61104128.000 344903680.000 1569315337.611 1569315335.778 130 1 218750 406250 781250
1569315337.75 9238765 18.033 11597435.409 781250 2 2 1 0.839 9969264 100.000 0.765 62992384.000 346931200.000 1569315337.611 1569315335.778 130 1 218750 406250 781250
1569315337.87 11843727 21.917 11648707.189 781250 2 2 1 0.839 12731360 100.000 0.748 61460480.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315337.97 11836184 21.817 11648707.189 781250 2 2 1 0.839 12731360 20.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.07 11821731 21.700 11648707.189 781250 2 2 1 0.839 12731360 0.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.18 11807640 21.600 11648707.189 781250 2 2 1 0.839 12731360 0.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.28 11793130 21.500 11648707.189 781250 2 2 1 0.839 12731360 10.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.38 11728447 21.400 11648707.189 781250 2 2 1 0.839 12731360 0.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.48 11717987 21.300 11648707.189 781250 2 2 1 0.839 12731360 10.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.58 11704416 21.200 11648707.189 781250 2 2 1 0.839 12731360 0.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.68 11691287 21.100 11648707.189 781250 2 2 1 0.839 12731360 0.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.79 11678640 21.000 11648707.189 781250 2 2 1 0.839 12731360 0.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.89 11614000 20.900 11648707.189 781250 2 2 1 0.839 12731360 10.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
1569315338.99 11603869 20.800 11648707.189 781250 2 2 1 0.839 12731360 0.000 0.748 61661184.000 342118400.000 1569315337.611 1569315337.848 327 2 218750 406250 781250
