#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569330138.24 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.538 43995136.000 342048768.000 -1.000 -1.000 0 0 218750 406250 781250
1569330138.34 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.542 44384256.000 342331392.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330138.44 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.545 44650496.000 342618112.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330138.54 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.548 44900352.000 342761472.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330138.65 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.551 45158400.000 343040000.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330138.75 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.554 45412352.000 343326720.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330138.85 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.557 45670400.000 343613440.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330138.95 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.559 45932544.000 343756800.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330139.05 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.564 46317568.000 344072192.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330139.16 0 0.000 0.000 218750 0 2 0 0.000 0 27.273 0.567 46632960.000 344416256.000 1569330138.239 -1.000 0 0 218750 406250 781250
1569330139.26 0 0.000 0.000 218750 0 2 0 0.000 0 40.000 0.549 45248512.000 342953984.000 1569330138.239 -1.000 0 0 218750 406250 781250

1569330139.36 815149 3.967 842447.831 218750 0 2 0 0.000 863296 40.000 0.581 47763456.000 343826432.000 1569330139.266 1569330139.263 0 0 218750 406250 781250
1569330139.46 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330139.56 815149 3.967 842447.831 218750 0 2 0 0.000 863296 20.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330139.66 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330139.77 815149 3.967 842447.831 218750 0 2 0 0.000 863296 0.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330139.87 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330139.97 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.07 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.17 815149 3.967 842447.831 218750 0 2 0 0.000 863296 9.091 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.28 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.38 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.48 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.58 815149 3.967 842447.831 218750 0 2 0 0.000 863296 20.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.68 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.79 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.89 815149 3.967 842447.831 218750 0 2 0 0.000 863296 9.091 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330140.99 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330141.09 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330141.19 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330141.30 815149 3.967 842447.831 218750 0 2 0 0.000 863296 0.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330141.40 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330141.50 815149 3.967 842447.831 218750 0 2 0 0.000 863296 20.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250
1569330141.60 815149 3.967 842447.831 218750 0 2 0 0.000 863296 10.000 0.581 47853568.000 343826432.000 1569330139.402 1569330139.263 0 0 218750 406250 781250

1569330141.70 1576157 7.967 362554.884 218750 0 2 0 0.000 1672260 50.000 0.604 49745920.000 343826432.000 1569330141.635 1569330141.634 327 0 218750 406250 781250
1569330141.80 1576157 7.967 362554.884 218750 0 2 0 0.000 1672260 0.000 0.604 49745920.000 343826432.000 1569330141.766 1569330141.634 327 0 218750 406250 781250
1569330141.91 1576157 7.967 362554.884 218750 0 2 0 0.000 1672260 9.091 0.604 49745920.000 343826432.000 1569330141.766 1569330141.634 327 0 218750 406250 781250
