#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0

1569334752.42 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.542 44371968.000 650809344.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569334752.52 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.543 44699648.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334752.63 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.544 44748800.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334752.73 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.544 44789760.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334752.83 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.544 44810240.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334752.94 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.544 44826624.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.04 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.544 44843008.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.14 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.545 44859392.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.24 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.545 44875776.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.35 0 0.000 0.000 25000 0 3 0 0.000 0 18.182 0.545 44892160.000 650948608.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.45 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.545 44916736.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.55 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44941312.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.66 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44969984.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.76 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44994560.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.86 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44998656.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334753.97 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44998656.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.07 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44998656.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.17 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44998656.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.27 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44998656.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.38 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44998656.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.48 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44998656.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.58 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 45002752.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.69 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 45002752.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.79 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.546 45002752.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.89 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 45002752.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334754.99 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.547 45031424.000 651087872.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.10 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.547 45068288.000 651235328.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.20 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45109248.000 651235328.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.30 0 0.000 0.000 25000 0 3 0 0.000 0 20.000 0.548 45133824.000 651235328.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.41 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45191168.000 651370496.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.51 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.549 45232128.000 651370496.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.61 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.550 45273088.000 651370496.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.71 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.550 45297664.000 651370496.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.82 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45338624.000 651513856.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334755.92 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.551 45375488.000 651513856.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334756.02 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.552 45416448.000 651513856.000 1569334752.443 -1.000 0 0 25000 38888 60555 92222
1569334756.12 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46268416.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.23 146141 9.943 69813.467 25000 0 3 0 0.000 250228 0.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.33 146141 9.943 69813.467 25000 0 3 0 0.000 250228 18.182 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
1569334756.43 146141 9.943 69813.467 25000 0 3 0 0.000 250228 10.000 0.562 46313472.000 651513856.000 1569334756.029 1569334756.027 0 0 25000 38888 60555 92222
