#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569233158.48 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.522 42614784.000 342044672.000 -1.000 -1.000 0 0 218750 406250 781250
1569233158.58 815149 3.967 11590374.978 218750 0 2 0 0.000 863296 90.000 0.547 45039616.000 342102016.000 1569233158.552 1569233158.550 0 0 218750 406250 781250

1569233158.68 815149 3.967 11590374.978 218750 0 2 0 0.000 863296 0.000 0.547 45060096.000 342102016.000 1569233158.552 1569233158.550 0 0 218750 406250 781250
1569233158.79 1576157 7.967 11639774.895 781250 2 2 0 0.000 1672260 90.909 0.567 46698496.000 342118400.000 1569233158.755 1569233158.750 130 1 218750 406250 781250

1569233158.89 1576157 7.967 11639774.895 781250 2 2 0 0.000 1672260 0.000 0.567 46698496.000 342118400.000 1569233158.755 1569233158.750 130 1 218750 406250 781250
1569233158.99 1576157 7.967 11639774.895 781250 2 2 0 0.000 1672260 81.818 0.581 47845376.000 343265280.000 1569233158.892 1569233158.750 130 1 218750 406250 781250
1569233159.10 1576157 7.967 11639774.895 781250 2 2 0 0.000 1672260 100.000 0.595 49041408.000 344461312.000 1569233158.892 1569233158.750 130 1 218750 406250 781250

1569233159.20 4256536 11.983 11572259.842 781250 2 2 1 1.867 4442440 80.000 0.611 50343936.000 342114304.000 1569233159.137 1569233159.131 130 1 218750 406250 781250
1569233159.30 4256536 11.983 11572259.842 781250 2 2 1 1.867 4442440 20.000 0.623 51154944.000 343236608.000 1569233159.264 1569233159.131 130 1 218750 406250 781250
1569233159.40 4256536 11.983 11572259.842 781250 2 2 1 1.867 4442440 90.909 0.667 54861824.000 346710016.000 1569233159.264 1569233159.131 130 1 218750 406250 781250
1569233159.51 6172603 14.800 11647347.191 781250 2 2 1 1.867 7188932 110.000 0.679 55795712.000 347615232.000 1569233159.264 1569233159.500 261 2 218750 406250 781250

1569233159.61 6914331 15.983 11647347.191 781250 2 2 1 1.867 7188932 40.000 0.653 53780480.000 342118400.000 1569233159.508 1569233159.500 261 2 218750 406250 781250
1569233159.71 6914331 15.983 11647347.191 781250 2 2 1 1.867 7188932 60.000 0.678 55668736.000 344272896.000 1569233159.645 1569233159.500 261 2 218750 406250 781250
1569233159.81 6914331 15.983 11647347.191 781250 2 2 1 1.867 7188932 100.000 0.722 59404288.000 347942912.000 1569233159.645 1569233159.500 261 2 218750 406250 781250
1569233159.92 9602830 19.983 11646274.166 781250 2 2 1 1.867 9966256 100.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.02 9569123 19.883 11646274.166 781250 2 2 1 1.867 9966256 20.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.12 9565389 19.783 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.22 9559608 19.683 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.33 9544159 19.567 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.43 9494487 19.467 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.53 9490310 19.367 11646274.166 781250 2 2 1 1.867 9966256 10.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.63 9480324 19.233 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.73 9472970 19.167 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.83 9461915 19.067 11646274.166 781250 2 2 1 1.867 9966256 9.091 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233160.94 9408357 18.933 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233161.04 9404001 18.867 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233161.14 9379572 18.733 11646274.166 781250 2 2 1 1.867 9966256 10.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233161.24 9366847 18.633 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233161.34 9352913 18.533 11646274.166 781250 2 2 1 1.867 9966256 10.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233161.45 9290745 18.450 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
1569233161.55 9279060 18.350 11646274.166 781250 2 2 1 1.867 9966256 0.000 0.732 60305408.000 344891392.000 1569233159.645 1569233159.884 100 1 218750 406250 781250
