#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569336505.50 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.531 43417600.000 342044672.000 -1.000 -1.000 0 0 218750 406250 781250
1569336505.60 815149 3.967 11634244.340 218750 0 2 0 0.000 863296 90.000 0.566 46510080.000 343027712.000 1569336505.575 1569336505.574 0 0 218750 406250 781250

1569336505.71 815149 3.967 11634244.340 218750 0 2 0 0.000 863296 10.000 0.566 46596096.000 343027712.000 1569336505.575 1569336505.574 0 0 218750 406250 781250
1569336505.81 1576157 7.967 11640932.982 781250 2 2 0 0.000 1672260 81.818 0.594 48750592.000 343674880.000 1569336505.781 1569336505.776 130 1 218750 406250 781250

1569336505.91 1576157 7.967 11640932.982 781250 2 2 0 0.000 1672260 0.000 0.594 48975872.000 343674880.000 1569336505.781 1569336505.776 130 1 218750 406250 781250
1569336506.01 1576157 7.967 11640932.982 781250 2 2 0 0.000 1672260 81.818 0.610 50282496.000 344969216.000 1569336505.913 1569336505.776 130 1 218750 406250 781250
1569336506.12 1576157 7.967 11640932.982 781250 2 2 0 0.000 1672260 110.000 0.625 51478528.000 346165248.000 1569336505.913 1569336505.776 130 1 218750 406250 781250

1569336506.22 4256536 11.983 11673210.792 781250 2 2 1 1.852 4442440 70.000 0.641 52772864.000 343810048.000 1569336506.153 1569336506.150 130 1 218750 406250 781250
1569336506.32 4256536 11.983 11673210.792 781250 2 2 1 1.852 4442440 30.000 0.641 52776960.000 343810048.000 1569336506.281 1569336506.150 130 1 218750 406250 781250
1569336506.42 4256536 11.983 11673210.792 781250 2 2 1 1.852 4442440 100.000 0.688 56557568.000 347852800.000 1569336506.281 1569336506.150 130 1 218750 406250 781250
1569336506.54 6914331 15.983 11671657.391 781250 2 2 1 1.852 7188932 100.000 0.765 62902272.000 351088640.000 1569336506.519 1569336506.516 261 2 218750 406250 781250

1569336506.64 6914331 15.983 11671657.391 781250 2 2 1 1.852 7188932 20.000 0.672 55369728.000 342970368.000 1569336506.519 1569336506.516 261 2 218750 406250 781250
1569336506.74 6914331 15.983 11671657.391 781250 2 2 1 1.852 7188932 70.000 0.706 58068992.000 345870336.000 1569336506.656 1569336506.516 261 2 218750 406250 781250
1569336506.84 6914331 15.983 11671657.391 781250 2 2 1 1.852 7188932 100.000 0.749 61689856.000 349405184.000 1569336506.656 1569336506.516 261 2 218750 406250 781250
1569336506.95 9602830 19.983 11632713.527 781250 2 2 1 1.852 9966256 90.909 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.05 9568148 19.833 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.15 9562793 19.767 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.25 9554919 19.667 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.35 9544159 19.567 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.45 9494487 19.467 11632713.527 781250 2 2 1 1.852 9966256 10.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.56 9490310 19.367 11632713.527 781250 2 2 1 1.852 9966256 9.091 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.66 9480324 19.233 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.76 9472970 19.167 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.86 9461915 19.067 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336507.96 9408357 18.933 11632713.527 781250 2 2 1 1.852 9966256 10.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336508.06 9397096 18.833 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336508.17 9379572 18.733 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336508.27 9366847 18.633 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336508.37 9352913 18.533 11632713.527 781250 2 2 1 1.852 9966256 20.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336508.47 9290745 18.450 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336508.57 9279060 18.350 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250
1569336508.67 9266725 18.200 11632713.527 781250 2 2 1 1.852 9966256 0.000 0.718 59121664.000 342970368.000 1569336506.656 1569336506.895 100 1 218750 406250 781250

1569336508.78 9252160 18.133 11632713.527 781250 2 2 1 1.852 9966256 40.000 0.723 59387904.000 343535616.000 1569336508.724 1569336506.895 100 1 218750 406250 781250
1569336508.88 9236850 18.033 11632713.527 781250 2 2 1 1.852 9966256 110.000 0.781 64172032.000 348213248.000 1569336508.724 1569336506.895 100 1 218750 406250 781250
1569336508.98 11841864 21.917 11625480.471 781250 2 2 1 1.852 12728352 110.000 0.755 61952000.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
1569336509.09 11834321 21.817 11625480.471 781250 2 2 1 1.852 12728352 20.000 0.755 62214144.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
1569336509.19 11824754 21.733 11625480.471 781250 2 2 1 1.852 12728352 0.000 0.755 62214144.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
1569336509.29 11811938 21.633 11625480.471 781250 2 2 1 1.852 12728352 0.000 0.755 62214144.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
1569336509.39 11795977 21.533 11625480.471 781250 2 2 1 1.852 12728352 0.000 0.755 62214144.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
1569336509.49 11728133 21.433 11625480.471 781250 2 2 1 1.852 12728352 10.000 0.755 62214144.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
1569336509.60 11721242 21.333 11625480.471 781250 2 2 1 1.852 12728352 9.091 0.755 62214144.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
1569336509.70 11702553 21.200 11625480.471 781250 2 2 1 1.852 12728352 0.000 0.755 62214144.000 342970368.000 1569336508.724 1569336508.961 327 2 218750 406250 781250
