#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569330981.80 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.536 43913216.000 342044672.000 -1.000 -1.000 0 0 218750 406250 781250
1569330981.90 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.538 44191744.000 342179840.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.00 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.539 44335104.000 342319104.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.11 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.541 44421120.000 342319104.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.21 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.542 44539904.000 342462464.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.31 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.543 44642304.000 342605824.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.41 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.545 44748800.000 342749184.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.51 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.545 44863488.000 342749184.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.62 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.547 44945408.000 342884352.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.72 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.549 45105152.000 343027712.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.82 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.551 45252608.000 343171072.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330982.92 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.553 45395968.000 343314432.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.02 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.554 45539328.000 343457792.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.13 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.556 45682688.000 343744512.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.23 0 0.000 0.000 218750 0 2 0 0.000 0 18.182 0.558 45838336.000 343887872.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.33 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.560 45981696.000 344031232.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.43 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.562 46125056.000 344174592.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.53 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.563 46415872.000 344330240.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.63 0 0.000 0.000 218750 0 2 0 0.000 0 27.273 0.548 45121536.000 342896640.000 1569330981.802 -1.000 0 0 218750 406250 781250
1569330983.74 0 0.000 0.000 218750 0 2 0 0.000 0 30.000 0.547 45039616.000 342937600.000 1569330981.802 -1.000 0 0 218750 406250 781250

1569330983.84 815149 3.967 436332.671 218750 0 2 0 0.000 863296 40.000 0.578 47501312.000 343830528.000 1569330983.782 1569330983.780 0 0 218750 406250 781250
1569330983.94 815149 3.967 436332.671 218750 0 2 0 0.000 863296 20.000 0.578 47591424.000 343830528.000 1569330983.913 1569330983.780 0 0 218750 406250 781250
1569330984.04 815149 3.967 436332.671 218750 0 2 0 0.000 863296 0.000 0.578 47591424.000 343830528.000 1569330983.913 1569330983.780 0 0 218750 406250 781250
1569330984.14 815149 3.967 436332.671 218750 0 2 0 0.000 863296 10.000 0.578 47591424.000 343830528.000 1569330983.913 1569330983.780 0 0 218750 406250 781250
1569330984.25 815149 3.967 436332.671 218750 0 2 0 0.000 863296 18.182 0.578 47591424.000 343830528.000 1569330983.913 1569330983.780 0 0 218750 406250 781250
1569330984.35 815149 3.967 436332.671 218750 0 2 0 0.000 863296 10.000 0.578 47591424.000 343830528.000 1569330983.913 1569330983.780 0 0 218750 406250 781250
