#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569329961.46 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.537 43982848.000 342048768.000 -1.000 -1.000 0 0 218750 406250 781250
1569329961.56 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.540 44257280.000 342319104.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329961.67 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.543 44486656.000 342462464.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329961.77 0 0.000 0.000 218750 0 2 0 0.000 0 18.182 0.545 44707840.000 342749184.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329961.87 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.548 44929024.000 342892544.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329961.97 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.551 45150208.000 343179264.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329962.07 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.553 45371392.000 343322624.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329962.18 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.556 45580288.000 343609344.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329962.28 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.558 45801472.000 343752704.000 1569329961.462 -1.000 0 0 218750 406250 781250
1569329962.38 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.561 45981696.000 344092672.000 1569329961.462 -1.000 0 0 218750 406250 781250
