#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
#Host: 193.206.135.171
1569333140.34 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.545 44609536.000 650809344.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569333140.45 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.546 44929024.000 650944512.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333140.55 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.547 44978176.000 650944512.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333140.66 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 45031424.000 650944512.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333140.76 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.547 45060096.000 650944512.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333140.86 0 0.000 0.000 25000 0 3 0 0.000 0 20.000 0.548 45088768.000 650944512.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333140.96 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45113344.000 651079680.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.07 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.548 45150208.000 651079680.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.17 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45191168.000 651079680.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.27 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.549 45228032.000 651079680.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.37 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.550 45256704.000 651223040.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.48 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.550 45293568.000 651223040.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.58 0 0.000 0.000 25000 0 3 0 0.000 0 20.000 0.551 45334528.000 651223040.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.69 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.551 45379584.000 651223040.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.79 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.552 45416448.000 651358208.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.89 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.552 45457408.000 651358208.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333141.99 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.552 45498368.000 651358208.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333142.09 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.552 45510656.000 651358208.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333142.20 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.552 45510656.000 651358208.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333142.30 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.552 45510656.000 651358208.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333142.40 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.553 45514752.000 651358208.000 1569333140.345 -1.000 0 0 25000 38888 60555 92222
1569333142.51 146141 9.943 121028.028 25000 0 3 0 0.000 250228 20.000 0.563 46362624.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333142.61 146141 9.943 121028.028 25000 0 3 0 0.000 250228 9.091 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333142.71 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333142.81 146141 9.943 121028.028 25000 0 3 0 0.000 250228 10.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333142.91 146141 9.943 121028.028 25000 0 3 0 0.000 250228 10.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.02 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.12 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.22 146141 9.943 121028.028 25000 0 3 0 0.000 250228 20.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.32 146141 9.943 121028.028 25000 0 3 0 0.000 250228 10.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.43 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.53 146141 9.943 121028.028 25000 0 3 0 0.000 250228 10.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.64 146141 9.943 121028.028 25000 0 3 0 0.000 250228 9.091 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.74 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.84 146141 9.943 121028.028 25000 0 3 0 0.000 250228 10.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333143.94 146141 9.943 121028.028 25000 0 3 0 0.000 250228 10.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333144.05 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333144.15 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333144.25 146141 9.943 121028.028 25000 0 3 0 0.000 250228 20.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333144.36 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333144.46 146141 9.943 121028.028 25000 0 3 0 0.000 250228 10.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333144.56 146141 9.943 121028.028 25000 0 3 0 0.000 250228 0.000 0.563 46379008.000 651358208.000 1569333142.419 1569333142.413 0 0 25000 38888 60555 92222
1569333144.67 303204 19.953 120627.427 92222 3 3 0 0.000 513052 9.091 0.581 47726592.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333144.77 296004 19.820 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333144.88 295616 19.753 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333144.98 294902 19.620 120627.427 92222 3 3 1 5.053 513052 9.091 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.08 294457 19.553 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.18 293495 19.419 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.29 293119 19.353 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.39 292131 19.219 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.49 291655 19.152 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.60 290441 19.019 120627.427 92222 3 3 1 5.053 513052 9.091 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.70 287303 18.886 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.81 286447 18.819 120627.427 92222 3 3 1 5.053 513052 10.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333145.91 284925 18.685 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.01 284440 18.619 120627.427 92222 3 3 1 5.053 513052 20.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.11 283186 18.485 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
1569333146.22 282588 18.418 120627.427 92222 3 3 1 5.053 513052 0.000 0.581 47865856.000 652140544.000 1569333144.600 1569333144.597 0 0 25000 38888 60555 92222
