#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
1569333336.17 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44650496.000 650747904.000 -1.000 -1.000 0 0 25000 38888 60555 92222
#Host: 193.206.135.170
1569333336.28 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 45015040.000 650891264.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569333336.38 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 45035520.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333336.49 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 45043712.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333336.59 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45076480.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333336.69 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45113344.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333336.80 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.548 45113344.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333336.90 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.548 45117440.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333337.00 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.548 45117440.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333337.11 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45117440.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333337.21 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.548 45158400.000 650891264.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
1569333337.31 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.550 45178880.000 651034624.000 1569333336.346 -1.000 0 0 25000 38888 60555 92222
