#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0 q3,visible=0
1569334218.71 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44482560.000 650813440.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569334218.81 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44728320.000 650813440.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569334218.91 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44736512.000 650813440.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569334219.02 0 0.000 0.000 25000 0 3 0 0.000 0 18.182 0.543 44736512.000 650813440.000 -1.000 -1.000 0 0 25000 38888 60555 92222

1569334219.12 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44736512.000 650813440.000 -1.000 -1.000 0 0 25000 38888 60555 92222
1569334219.22 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44740608.000 650813440.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334219.33 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.543 44740608.000 650813440.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334219.43 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44740608.000 650813440.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334219.53 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.543 44740608.000 650813440.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334219.63 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44744704.000 650813440.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334219.74 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.543 44744704.000 650813440.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334219.84 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.544 44748800.000 650956800.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334219.94 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.544 44806144.000 650956800.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.05 0 0.000 0.000 25000 0 3 0 0.000 0 20.000 0.544 44843008.000 650956800.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.15 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.545 44859392.000 650956800.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.25 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.545 44867584.000 650956800.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.35 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44883968.000 650956800.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.46 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.546 44957696.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.56 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.546 44961792.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.66 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44994560.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.76 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.546 44994560.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.87 0 0.000 0.000 25000 0 3 0 0.000 0 9.091 0.546 44998656.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334220.97 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 45010944.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.07 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.547 45039616.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.17 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.547 45068288.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.28 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45092864.000 651116544.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.38 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.548 45121536.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.48 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.548 45133824.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.58 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.548 45158400.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.69 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.549 45187072.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.79 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45211648.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.89 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334221.99 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.10 0 0.000 0.000 25000 0 3 0 0.000 0 18.182 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.20 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.30 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.41 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.51 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.61 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.72 0 0.000 0.000 25000 0 3 0 0.000 0 0.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.82 0 0.000 0.000 25000 0 3 0 0.000 0 10.000 0.549 45223936.000 651255808.000 1569334219.133 -1.000 0 0 25000 38888 60555 92222
1569334222.93 146141 9.943 67032.369 25000 0 3 0 0.000 250228 10.000 0.561 46063616.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
1569334223.03 146141 9.943 67032.369 25000 0 3 0 0.000 250228 0.000 0.561 46256128.000 651546624.000 1569334222.868 1569334222.866 0 0 25000 38888 60555 92222
