#ts enqueued_b enqueued_t,visible=1,subplot=2 bwe,visible=1,subplot=1 cur,visible=1,subplot=1 level,visible=1,subplot=3 max_level player_status,visible=1,subplot=3 paused_time downloaded_bytes cpu,visible=1,subplot=4 mem,visible=1,subplot=5 rss vms ts_start_req ts_stop_req alpha view q0,visible=0 q1,visible=0 q2,visible=0

1569321306.61 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.537 43925504.000 342048768.000 -1.000 -1.000 0 0 218750 406250 781250
1569321306.71 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.539 44257280.000 342192128.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321306.81 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.540 44396544.000 342327296.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321306.91 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.541 44494848.000 342327296.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.01 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.543 44597248.000 342470656.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.12 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.544 44703744.000 342614016.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.22 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.545 44818432.000 342757376.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.32 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.547 44924928.000 342757376.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.42 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.548 45039616.000 342900736.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.53 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.549 45146112.000 343044096.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.63 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.551 45248512.000 343187456.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.73 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.552 45367296.000 343187456.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.83 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.553 45469696.000 343330816.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321307.93 0 0.000 0.000 218750 0 2 0 0.000 0 10.000 0.555 45588480.000 343474176.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.03 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.556 45690880.000 343617536.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.14 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.557 45797376.000 343760896.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.24 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.558 45912064.000 343760896.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.34 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.558 45977600.000 343760896.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.44 0 0.000 0.000 218750 0 2 0 0.000 0 0.000 0.561 45977600.000 343969792.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.54 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.563 46239744.000 344113152.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.64 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.564 46358528.000 344256512.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.75 0 0.000 0.000 218750 0 2 0 0.000 0 9.091 0.556 45694976.000 343650304.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.85 0 0.000 0.000 218750 0 2 0 0.000 0 20.000 0.547 45064192.000 342913024.000 1569321306.608 -1.000 0 0 218750 406250 781250
1569321308.95 0 0.000 0.000 218750 0 2 0 0.000 0 30.000 0.549 45236224.000 342953984.000 1569321306.608 -1.000 0 0 218750 406250 781250

1569321309.05 815149 3.967 362327.810 218750 0 2 0 0.000 863296 50.000 0.562 46161920.000 342110208.000 1569321308.994 1569321308.991 0 0 218750 406250 781250
1569321309.15 815149 3.967 362327.810 218750 0 2 0 0.000 863296 0.000 0.562 46305280.000 342110208.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.26 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.562 46305280.000 342245376.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.36 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.564 46333952.000 342245376.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.46 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.565 46436352.000 342384640.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.56 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.566 46551040.000 342528000.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.66 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.568 46657536.000 342671360.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.77 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.569 46759936.000 342814720.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.87 815149 3.967 362327.810 218750 0 2 0 0.000 863296 0.000 0.569 46878720.000 342814720.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321309.97 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.569 46915584.000 342814720.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321310.07 815149 3.967 362327.810 218750 0 2 0 0.000 863296 0.000 0.569 46915584.000 342814720.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321310.17 815149 3.967 362327.810 218750 0 2 0 0.000 863296 10.000 0.571 46915584.000 342958080.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
1569321310.27 815149 3.967 362327.810 218750 0 2 0 0.000 863296 9.091 0.573 47054848.000 343097344.000 1569321309.130 1569321308.991 0 0 218750 406250 781250
